,ticker,date,poswords,negwords,daily_filing_count
435,AMGN,2012-05-23,1568.0,2190.0,1
436,AMGN,2012-07-26,2837.0,5341.0,1
437,AMGN,2012-08-08,7636.0,12913.0,1
438,AMGN,2012-09-10,88.0,390.0,2
439,AMGN,2012-09-13,2819.0,5691.0,1
440,AMGN,2012-10-23,2657.0,5136.0,1
441,AMGN,2012-11-06,13937.0,19240.0,1
442,AMGN,2012-12-07,441.0,1006.0,1
443,AMGN,2012-12-13,156.0,539.0,1
444,AMGN,2012-12-14,326.0,872.0,1
445,AMGN,2012-12-19,345.0,841.0,1
446,AMGN,2013-01-23,2956.0,5324.0,1
447,AMGN,2013-02-12,102.0,133.0,1
448,AMGN,2013-02-27,16490.0,19560.0,1
449,AMGN,2013-03-06,2289.0,4311.0,1
450,AMGN,2013-04-23,2170.0,4459.0,1
451,AMGN,2013-05-03,13703.0,19054.0,1
452,AMGN,2013-05-22,457.0,1092.0,1
453,AMGN,2013-07-09,84.0,371.0,1
454,AMGN,2013-07-26,103.0,396.0,1
455,AMGN,2013-07-30,2474.0,4686.0,1
456,AMGN,2013-08-06,13571.0,19311.0,1
457,AMGN,2013-08-26,16179.0,26254.0,1
458,AMGN,2013-09-20,7218.0,14341.0,1
459,AMGN,2013-10-01,564.0,1082.0,1
460,AMGN,2013-10-17,324.0,1100.0,1
461,AMGN,2013-10-22,2617.0,5096.0,1
462,AMGN,2013-10-29,13590.0,19252.0,1
463,AMGN,2013-11-19,91.0,372.0,1
464,AMGN,2014-01-09,463.0,998.0,1
465,AMGN,2014-01-28,2821.0,5296.0,1
466,AMGN,2014-02-24,15254.0,19532.0,1
467,AMGN,2014-04-03,106.0,422.0,1
468,AMGN,2014-04-08,81.0,349.0,1
469,AMGN,2014-04-22,1741.0,3505.0,1
470,AMGN,2014-04-30,13717.0,19385.0,1
471,AMGN,2014-05-15,320.0,961.0,1
472,AMGN,2014-05-22,10376.0,18878.0,1
473,AMGN,2014-06-09,325.0,914.0,1
474,AMGN,2014-07-29,2379.0,4417.0,1
475,AMGN,2014-07-30,9038.0,16024.0,1
476,AMGN,2014-08-05,13611.0,18878.0,1
477,AMGN,2014-10-17,288.0,936.0,1
478,AMGN,2014-10-27,2251.0,4090.0,1
479,AMGN,2014-10-28,109.0,484.0,1
480,AMGN,2014-10-29,13487.0,18803.0,1
481,AMGN,2015-01-27,2460.0,4267.0,1
482,AMGN,2015-02-11,120.0,1091.0,1
483,AMGN,2015-02-19,15086.0,19586.0,1
484,AMGN,2015-03-04,100.0,423.0,1
485,AMGN,2015-04-01,414.0,1167.0,1
486,AMGN,2015-04-21,1684.0,3478.0,1
487,AMGN,2015-04-27,13674.0,19239.0,1
488,AMGN,2015-05-01,5489.0,10160.0,1
489,AMGN,2015-05-14,522.0,934.0,1
490,AMGN,2015-07-30,2326.0,4340.0,1
491,AMGN,2015-08-05,13400.0,18746.0,1
492,AMGN,2015-10-28,2243.0,4120.0,1
